placename,control,doubled,longitude,latitude
Mildenhall,0.9954975,0.0045024764,  0.5156095,52.34757
Medway,0.9959605,0.0040394973,  0.5417861,51.40474
Braintree,0.9903283,0.0096717468,  0.5509269,51.88009
Gillingham,0.9959821,0.0040178571,  0.5514380,51.38632
Hastings,1.0000000,0.0000000000,  0.5734530,50.85426
Maldon,0.9934247,0.0065753425,  0.6714480,51.73181
Southend,0.9935863,0.0064136825,  0.7077123,51.54593
Bury St Edmunds,0.9898186,0.0101814385,  0.7104932,52.24292
Thetford,0.9974811,0.0025188917,  0.7516570,52.41286
Ashford,0.9980664,0.0019336126,  0.8750190,51.14647
Faversham,0.9990597,0.0009402915,  0.8893580,51.31599
Colchester,0.9911406,0.0088593577,  0.8918740,51.89593
