placename,sel,self,sen,longitude,latitude
Sedbergh,0.00284090909,0.9955357,0.00162337662, -2.5281740,54.32363
Nantwich,0.00051321529,0.9994868,0.00000000000, -2.5241020,53.06719
Banff,0.10979042853,0.8902096,0.00000000000, -2.5240380,57.66651
Dunbar,0.03302628623,0.9669737,0.00000000000, -2.5167370,56.00209
Cinderford,0.00000000000,1.0000000,0.00000000000, -2.5009579,51.82530
Banchory,0.02242990654,0.9775701,0.00000000000, -2.4909599,57.05386
Blackburn,0.00172877449,0.9979831,0.00028812908, -2.4875290,53.74858
Market Drayton,0.00000000000,0.9986601,0.00133988388, -2.4834850,52.90355
Telford,0.00162214772,0.9983779,0.00000000000, -2.4672611,52.67759
Montrose,0.02687376726,0.9731262,0.00000000000, -2.4661150,56.70692
Turriff,0.05569864778,0.9443014,0.00000000000, -2.4623000,57.53893
Weymouth,0.00027919963,0.9997208,0.00000000000, -2.4576210,50.61443
Crewe,0.00039973351,0.9996003,0.00000000000, -2.4438209,53.10041
Fortuneswell,0.00027726433,0.9997227,0.00000000000, -2.4422190,50.55919
Dorchester,0.00000000000,1.0000000,0.00000000000, -2.4411810,50.71116
Alston,0.00892857143,0.9910714,0.00000000000, -2.4386850,54.81217
Kelso,0.03312738267,0.9668726,0.00000000000, -2.4322070,55.60003
Wincanton,0.00000000000,1.0000000,0.00000000000, -2.4160070,51.05569
Clitheroe,0.00374723216,0.9955715,0.00068131494, -2.3930830,53.87110
Sark,0.00018724254,0.9998128,0.00000000000, -2.3666256,49.43007
Bath,0.00141780879,0.9982486,0.00033360207, -2.3590167,51.38106
Kidderminster,0.00000000000,1.0000000,0.00000000000, -2.2496839,52.38860
Manchester,0.00062131039,0.9989219,0.00045674710, -2.2426305,53.48076
Burnley,0.00117365426,0.9968703,0.00195609043, -2.2405035,53.78929
Gloucester,0.00019322427,0.9998068,0.00000000000, -2.2381560,51.86424
Newcastle-under-Lyme,0.00051627707,0.9973326,0.00215115445, -2.2273002,53.01321
