placename,past participle,present participle,longitude,latitude
Oswestry,0.47359736,0.5264026, -3.0564120,52.85715
Blackpool,0.67862267,0.3213773, -3.0356748,53.81751
Birkenhead,0.55251756,0.4474824, -3.0230090,53.38999
Cupar,0.13783660,0.8621634, -3.0101370,56.32023
Southport,0.58298336,0.4170166, -3.0101130,53.64571
Bridgwater,0.55130370,0.4486963, -3.0036320,51.12789
Langholm,0.37197851,0.6280215, -2.9989130,55.15306
Newport,0.55266897,0.4473310, -2.9976640,51.58415
Axminster,0.56209150,0.4379085, -2.9949370,50.78273
Wrexham,0.51635913,0.4836409, -2.9924940,53.04304
Liverpool,0.55005432,0.4499457, -2.9915726,53.40837
Weston-super-Mare,0.54933781,0.4506622, -2.9772550,51.34741
Dundee,0.14223931,0.8577607, -2.9707210,56.46202
Kirkwall,0.19705094,0.8029491, -2.9622491,58.98467
Ambleside,0.63666301,0.3633370, -2.9613330,54.42874
Orkney Islands,0.19705094,0.8029491, -2.9605206,58.98094
Lyme Regis,0.55815385,0.4418462, -2.9366390,50.72516
Carlisle,0.46031302,0.5396870, -2.9329310,54.89247
Chester,0.53191821,0.4680818, -2.8930750,53.19339
Forfar,0.14781834,0.8521817, -2.8890620,56.64356
Morecambe,0.68743287,0.3125671, -2.8649680,54.07417
Selkirk,0.15341201,0.8465880, -2.8385240,55.55066
Galashiels,0.14111406,0.8588859, -2.8144490,55.62373
Lancaster,0.69794050,0.3020595, -2.8007399,54.04657
St Andrews,0.14128878,0.8587112, -2.7967214,56.33978
Hawick,0.18961039,0.8103896, -2.7809140,55.42706
Bridport,0.56139154,0.4386085, -2.7583010,50.73358
Shrewsbury,0.44513294,0.5548671, -2.7553268,52.70730
Penrith,0.50572005,0.4942799, -2.7527080,54.66410
Kendal,0.66684492,0.3331551, -2.7462900,54.32801
Street,0.55421245,0.4457875, -2.7429190,51.12468
Glastonbury,0.55398294,0.4460171, -2.7184540,51.14743
Hereford,0.65489885,0.3451012, -2.7159740,52.05640
Ludlow,0.48905109,0.5109489, -2.7139129,52.36775
Preston,0.73268293,0.2673171, -2.7030900,53.76320
Whitchurch,0.53760063,0.4623994, -2.6820450,52.96872
Wells,0.55138812,0.4486119, -2.6445979,51.20935
Yeovil,0.55766350,0.4423365, -2.6333080,50.94206
Wigan,0.69557280,0.3044272, -2.6325074,53.54506
Warrington,0.68591426,0.3140857, -2.5969501,53.39004
Arbroath,0.14821429,0.8517857, -2.5915430,56.55911
Bristol,0.54462376,0.4553762, -2.5879100,51.45451
Guernsey,0.56830239,0.4316976, -2.5852780,49.46569
Ross-on-Wye,0.62786119,0.3721388, -2.5824460,51.91445
Jedburgh,0.20850731,0.7914927, -2.5549369,55.47772
Sedbergh,0.70898876,0.2910112, -2.5281740,54.32363
Sedbergh,0.70898876,0.2910112, -2.5281740,54.32363
Nantwich,0.55655159,0.4434484, -2.5241020,53.06719
Banff,0.19285714,0.8071429, -2.5240380,57.66651
Dunbar,0.13822688,0.8617731, -2.5167370,56.00209
Cinderford,0.62415435,0.3758457, -2.5009579,51.82530
Banchory,0.20299145,0.7970085, -2.4909599,57.05386
Blackburn,0.72383420,0.2761658, -2.4875290,53.74858
