placename,Y needs X Ved,Y needs X Ving,longitude,latitude
Poole,0.4736355,0.5263645, -1.9872480,50.71505
Walsall,0.3160377,0.6839623, -1.9829190,52.58621
Cirencester,0.4236209,0.5763791, -1.9682430,51.71849
Evesham,0.3529845,0.6470155, -1.9467700,52.09215
Buxton,0.2064128,0.7935872, -1.9148300,53.25908
Keighley,0.2524526,0.7475474, -1.9123580,53.86780
Birmingham,0.3108434,0.6891566, -1.8904010,52.48624
Bournemouth,0.4379211,0.5620789, -1.8807690,50.71916
Halifax,0.2198492,0.7801508, -1.8575400,53.72702
Salisbury,0.4800817,0.5199183, -1.7944720,51.06878
Ringwood,0.4501953,0.5498047, -1.7888170,50.84495
Huddersfield,0.2065961,0.7934039, -1.7850351,53.64579
Peterhead,0.5111111,0.4888889, -1.7840660,57.50812
Swindon,0.4575472,0.5424528, -1.7797176,51.55577
Bradford,0.2385879,0.7614121, -1.7593980,53.79598
Ashbourne,0.2596154,0.7403846, -1.7321790,53.01663
Marlborough,0.4580000,0.5420000, -1.7270620,51.42007
Stratford-upon-Avon,0.3421257,0.6578743, -1.7082980,52.19173
Alnwick,0.4087336,0.5912664, -1.7062990,55.41274
Otley,0.2431277,0.7568723, -1.6917860,53.90583
Bishop Auckland,0.3315259,0.6684741, -1.6787880,54.66382
Burton upon Trent,0.2955032,0.7044968, -1.6371359,52.81403
Newcastle,0.3454686,0.6545314, -1.6177800,54.97825
Durham,0.3361735,0.6638265, -1.5848520,54.77525
Ashington,0.3533016,0.6466984, -1.5659829,55.18298
Darlington,0.3180106,0.6819894, -1.5594580,54.52361
Leeds,0.2396147,0.7603853, -1.5490774,53.80076
Harrogate,0.2523901,0.7476099, -1.5418120,53.99212
Leamington Spa,0.3433442,0.6566558, -1.5200789,52.28519
Coventry,0.3199679,0.6800321, -1.5196930,52.40682
Blyth,0.3655548,0.6344452, -1.5102770,55.12696
Wakefield,0.2360595,0.7639405, -1.5059240,53.68330
Andover,0.4566301,0.5433699, -1.4919233,51.21120
Witney,0.4131911,0.5868089, -1.4850544,51.78594
Barnsley,0.2353301,0.7646699, -1.4797260,53.55263
Derby,0.2788845,0.7211155, -1.4746186,52.92253
Sheffield,0.2247972,0.7752028, -1.4700850,53.38113
Nuneaton,0.3111940,0.6888060, -1.4653820,52.52049
Northallerton,0.3100537,0.6899463, -1.4299590,54.33796
South Shields,0.3382239,0.6617761, -1.4274060,54.99942
Chesterfield,0.2231458,0.7768542, -1.4216290,53.23505
Southampton,0.4458293,0.5541707, -1.4043509,50.90970
Wetherby,0.2438844,0.7561156, -1.3848160,53.92706
Sunderland,0.3408211,0.6591789, -1.3838010,54.90687
Rotherham,0.2264045,0.7735955, -1.3635009,53.43260
Castleford,0.2425829,0.7574171, -1.3459680,53.72347
Thirsk,0.2824252,0.7175748, -1.3413770,54.23385
Banbury,0.3548143,0.6451857, -1.3397750,52.06290
Stockton,0.3183230,0.6816770, -1.3289821,54.57046
Newbury,0.4643216,0.5356784, -1.3231139,51.40141
Isle of Wight,0.4495504,0.5504496, -1.3047340,50.69385
Isle of Wight,0.4495504,0.5504496, -1.3047340,50.69385
Abingdon,0.4416244,0.5583756, -1.2879529,51.67078
Shetland Islands,0.5022222,0.4977778, -1.2659409,60.52965
Rugby,0.3306569,0.6693431, -1.2650320,52.37088
Oxford,0.4158111,0.5841889, -1.2577263,51.75202
Middlesbrough,0.3095930,0.6904070, -1.2349560,54.57423
Hartlepool,0.3136966,0.6863034, -1.2129260,54.69174
Loughborough,0.2962692,0.7037308, -1.2061660,52.77210
Mansfield,0.2056075,0.7943925, -1.1986740,53.14720
