placename,Y needs X to be Ved,Y needs X Ved,Y needs X Ving,longitude,latitude
Alderney,0.32231405,0.3140496,0.3636364, -2.1973557,49.71500
Stoke-on-Trent,0.11016949,0.2796610,0.6101695, -2.1794040,53.00267
Colne,0.12103746,0.1873199,0.6916427, -2.1769910,53.85564
Blandford Forum,0.29687500,0.3437500,0.3593750, -2.1653530,50.85691
Rochdale,0.24843162,0.2170640,0.5345044, -2.1561000,53.60971
Jersey,0.33582090,0.3208955,0.3432836, -2.1312500,49.21444
Wolverhampton,0.18357488,0.2850242,0.5314010, -2.1288200,52.58697
Stafford,0.13385827,0.2204724,0.6456693, -2.1206600,52.80669
Macclesfield,0.22100955,0.1937244,0.5852660, -2.1192870,53.25866
Hexham,0.09183673,0.3826531,0.5255102, -2.1121439,54.97266
Aberdeen,0.24390244,0.3719512,0.3841463, -2.0942780,57.14972
Dudley,0.18779343,0.3098592,0.5023474, -2.0811120,52.51226
Cheltenham,0.11711712,0.3873874,0.4954955, -2.0782533,51.89939
Bromsgrove,0.20179372,0.2869955,0.5112108, -2.0619060,52.33559
Skipton,0.12815534,0.2310680,0.6407767, -2.0162787,53.96285
Fraserburgh,0.24675325,0.3701299,0.3831169, -2.0076310,57.69335
Berwick,0.15909091,0.3636364,0.4772727, -2.0053950,55.77024
Poole,0.31377551,0.2831633,0.4030612, -1.9872480,50.71505
Walsall,0.20289855,0.2898551,0.5072464, -1.9829190,52.58621
Cirencester,0.26773455,0.3203661,0.4118993, -1.9682430,51.71849
Evesham,0.10810811,0.3423423,0.5495495, -1.9467700,52.09215
Buxton,0.19914347,0.1713062,0.6295503, -1.9148300,53.25908
Keighley,0.11450382,0.2099237,0.6755725, -1.9123580,53.86780
Birmingham,0.19905213,0.2985782,0.5023697, -1.8904010,52.48624
Bournemouth,0.30673317,0.2992519,0.3940150, -1.8807690,50.71916
Halifax,0.15000000,0.2000000,0.6500000, -1.8575400,53.72702
Salisbury,0.33173077,0.3245192,0.3437500, -1.7944720,51.06878
Ringwood,0.33165829,0.2864322,0.3819095, -1.7888170,50.84495
Huddersfield,0.14062500,0.1562500,0.7031250, -1.7850351,53.64579
Peterhead,0.25000000,0.3618421,0.3881579, -1.7840660,57.50812
Swindon,0.18867925,0.3867925,0.4245283, -1.7797176,51.55577
Bradford,0.13483146,0.1853933,0.6797753, -1.7593980,53.79598
Ashbourne,0.08411215,0.1775701,0.7383178, -1.7321790,53.01663
Marlborough,0.23316062,0.3031088,0.4637306, -1.7270620,51.42007
Stratford-upon-Avon,0.18264840,0.3196347,0.4977169, -1.7082980,52.19173
Alnwick,0.14285714,0.3214286,0.5357143, -1.7062990,55.41274
Otley,0.12500000,0.2045455,0.6704545, -1.6917860,53.90583
Bishop Auckland,0.13279678,0.2716298,0.5955734, -1.6787880,54.66382
Burton upon Trent,0.09302326,0.2558140,0.6511628, -1.6371359,52.81403
Newcastle,0.13100437,0.3144105,0.5545852, -1.6177800,54.97825
Durham,0.12526096,0.2818372,0.5929019, -1.5848520,54.77525
Ashington,0.14084507,0.3309859,0.5281690, -1.5659829,55.18298
Darlington,0.16708861,0.2202532,0.6126582, -1.5594580,54.52361
Leeds,0.12359551,0.2022472,0.6741573, -1.5490774,53.80076
Harrogate,0.13131313,0.2626263,0.6060606, -1.5418120,53.99212
Leamington Spa,0.18269231,0.3076923,0.5096154, -1.5200789,52.28519
Coventry,0.19138756,0.3062201,0.5023923, -1.5196930,52.40682
Blyth,0.14084507,0.3169014,0.5422535, -1.5102770,55.12696
Wakefield,0.12777778,0.1555556,0.7166667, -1.5059240,53.68330
Andover,0.21281465,0.3295195,0.4576659, -1.4919233,51.21120
Witney,0.16363636,0.3272727,0.5090909, -1.4850544,51.78594
Barnsley,0.16055046,0.1330275,0.7064220, -1.4797260,53.55263
Derby,0.15789474,0.2697368,0.5723684, -1.4746186,52.92253
Sheffield,0.17543860,0.1345029,0.6900585, -1.4700850,53.38113
Nuneaton,0.19879518,0.2228916,0.5783133, -1.4653820,52.52049
Northallerton,0.15144231,0.2740385,0.5745192, -1.4299590,54.33796
South Shields,0.13100437,0.3013100,0.5676856, -1.4274060,54.99942
Chesterfield,0.14371257,0.1497006,0.7065868, -1.4216290,53.23505
Southampton,0.31730769,0.3173077,0.3653846, -1.4043509,50.90970
Wetherby,0.13065327,0.2512563,0.6180905, -1.3848160,53.92706
Sunderland,0.13452915,0.3026906,0.5627803, -1.3838010,54.90687
Rotherham,0.16969697,0.1393939,0.6909091, -1.3635009,53.43260
Castleford,0.15934066,0.2087912,0.6318681, -1.3459680,53.72347
Thirsk,0.15642458,0.2737430,0.5698324, -1.3413770,54.23385
Banbury,0.23762376,0.2673267,0.4950495, -1.3397750,52.06290
Stockton,0.16708861,0.2506329,0.5822785, -1.3289821,54.57046
Newbury,0.26345609,0.2719547,0.4645892, -1.3231139,51.40141
Isle of Wight,0.30731707,0.3219512,0.3707317, -1.3047340,50.69385
Isle of Wight,0.30731707,0.3219512,0.3707317, -1.3047340,50.69385
Abingdon,0.19469027,0.3008850,0.5044248, -1.2879529,51.67078
Shetland Islands,0.28260870,0.3695652,0.3478261, -1.2659409,60.52965
Rugby,0.22566372,0.2256637,0.5486726, -1.2650320,52.37088
Oxford,0.21238938,0.2831858,0.5044248, -1.2577263,51.75202
Middlesbrough,0.17955112,0.2319202,0.5885287, -1.2349560,54.57423
