placename,past participle,present participle,longitude,latitude
Gainsborough,0.8723404,0.12765957, -0.7744650,53.40058
Milton Keynes,0.5760396,0.42396040, -0.7594171,52.04062
Aldershot,0.5933219,0.40667808, -0.7557509,51.24837
High Wycombe,0.5890134,0.41098657, -0.7482290,51.62861
Midhurst,0.6328448,0.36715520, -0.7372740,50.98690
Kettering,0.5897762,0.41022380, -0.7302490,52.39632
Wellingborough,0.5890349,0.41096511, -0.6939640,52.30242
Corby,0.6118844,0.38811563, -0.6842333,52.49230
Bognor Regis,0.6024328,0.39756722, -0.6730610,50.78300
Scunthorpe,0.8681967,0.13180328, -0.6544130,53.58865
Grantham,0.7593184,0.24068158, -0.6435820,52.91252
Whitby,0.8451883,0.15481172, -0.6133470,54.48633
Slough,0.4927946,0.50720543, -0.5950406,51.51054
Guildford,0.5144813,0.48551869, -0.5704090,51.23622
Woking,0.5032581,0.49674185, -0.5600349,51.31677
Lincoln,0.8050080,0.19499201, -0.5405790,53.23069
Bedford,0.5344758,0.46552419, -0.4667782,52.13864
Heathrow,0.3887903,0.61120974, -0.4542955,51.47002
Driffield,0.8582043,0.14179567, -0.4433770,54.00600
Beverley,0.8587500,0.14125000, -0.4350930,53.84196
Luton,0.4761794,0.52382064, -0.4200255,51.87867
Scarborough,0.8573583,0.14264174, -0.3997520,54.28311
Worthing,0.4934933,0.50650666, -0.3728820,50.81787
Dorking,0.4438681,0.55613190, -0.3323780,51.23220
Hull,0.8644940,0.13550600, -0.3274198,53.76762
Horsham,0.4712541,0.52874590, -0.3258580,51.06288
Biggleswade,0.4871304,0.51286960, -0.2642200,52.08694
Peterborough,0.5964019,0.40359810, -0.2405299,52.56950
Welwyn Garden City,0.4075701,0.59242995, -0.2086610,51.80317
Bridlington,0.8590143,0.14098565, -0.1988020,54.08535
Stevenage,0.4392278,0.56077216, -0.1966120,51.90376
Crawley,0.4380512,0.56194881, -0.1872275,51.10914
Huntingdon,0.5184360,0.48156397, -0.1825520,52.33146
Hove,0.4841535,0.51584651, -0.1687490,50.82793
Spalding,0.6330495,0.36695051, -0.1537024,52.79010
Brighton,0.4819138,0.51808618, -0.1371630,50.82253
London,0.4430361,0.55696395, -0.1277583,51.50735
Grimsby,0.8531469,0.14685315, -0.0807840,53.56747
Boston,0.6721951,0.32780488, -0.0265770,52.97894
Royston,0.4594318,0.54056816, -0.0240660,52.04814
Louth,0.8265657,0.17343427, -0.0077110,53.36596
Lewes,0.4708095,0.52919048,  0.0087800,50.87387
Chatteris,0.5035033,0.49649674,  0.0540120,52.45610
Uckfield,0.4846830,0.51531703,  0.0959130,50.96641
Cambridge,0.4586113,0.54138868,  0.1218170,52.20534
Bishop's Stortford,0.3898999,0.61010009,  0.1536502,51.87216
Wisbech,0.5388482,0.46115183,  0.1587970,52.66632
Sevenoaks,0.4340850,0.56591500,  0.1908980,51.27241
Tunbridge Wells,0.4419536,0.55804636,  0.2636950,51.13238
Eastbourne,0.4709858,0.52901422,  0.2904720,50.76803
Brentwood,0.3320979,0.66790215,  0.3071749,51.62047
Skegness,0.7295615,0.27043855,  0.3378810,53.14640
Downham Market,0.5102907,0.48970931,  0.3854720,52.60661
King's Lynn,0.5544474,0.44555256,  0.4022963,52.75168
Bexhill,0.4632447,0.53675534,  0.4662071,50.84991
Chelmsford,0.3441247,0.65587530,  0.4685497,51.73559
Mildenhall,0.4636898,0.53631022,  0.5156095,52.34757
Medway,0.3750918,0.62490816,  0.5417861,51.40474
Braintree,0.3856574,0.61434263,  0.5509269,51.88009
Gillingham,0.3793482,0.62065178,  0.5514380,51.38632
Hastings,0.4753025,0.52469748,  0.5734530,50.85426
Maldon,0.3699171,0.63008291,  0.6714480,51.73181
Southend,0.3791304,0.62086957,  0.7077123,51.54593
Bury St Edmunds,0.4637588,0.53624118,  0.7104932,52.24292
Thetford,0.4539338,0.54606616,  0.7516570,52.41286
Ashford,0.4415704,0.55842956,  0.8750190,51.14647
Faversham,0.3949756,0.60502442,  0.8893580,51.31599
Colchester,0.3926777,0.60732233,  0.8918740,51.89593
New Romney,0.4558271,0.54417293,  0.9394730,50.98512
Canterbury,0.4355401,0.56445993,  1.0789089,51.28023
Ipswich,0.4445093,0.55549065,  1.1482200,52.05674
Clacton,0.3910182,0.60898180,  1.1530350,51.78953
Folkestone,0.4355353,0.56446469,  1.1694560,51.08140
Sheringham,0.5043860,0.49561404,  1.2109589,52.94442
Harwich,0.4241814,0.57581864,  1.2602970,51.93473
Norwich,0.4616296,0.53837044,  1.2973550,52.63089
Cromer,0.4842442,0.51575579,  1.3018660,52.93145
Dover,0.4238411,0.57615894,  1.3134027,51.12788
Felixstowe,0.4429869,0.55701312,  1.3512550,51.96173
Margate,0.4432379,0.55676209,  1.3868339,51.38965
Ramsgate,0.4381469,0.56185313,  1.4198950,51.33555
Great Yarmouth,0.4548518,0.54514825,  1.7280470,52.59823
Lowestoft,0.4507713,0.54922868,  1.7534490,52.48114
